ID,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,poster_url,trailer_url,ContentRatingID
1,Color,James Cameron,723,178,0,855,Joel David Moore,1000,760505856,CCH Pounder,Avatar,886204,4834,Wes Studi,0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English,USA,PG-13,237000000,2009,936,7.9000000953674316,1.7799999713897705,33000,https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,https://www.youtube.com/watch?v=jm2sNLIPPvA,11
2,Color,Gore Verbinski,302,169,563,1000,Orlando Bloom,40000,309404160,Johnny Depp,Pirates of the Caribbean: At World's End,471220,48350,Jack Davenport,0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,English,USA,PG-13,300000000,2007,5000,7.0999999046325684,2.3499999046325684,0,https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,https://www.youtube.com/watch?v=HKSZtp_OGHY,11
3,Color,Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074176,Christoph Waltz,Spectre,275868,11700,Stephanie Sigman,1,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,English,UK,PG-13,245000000,2015,393,6.8000001907348633,2.3499999046325684,85000,https://image.tmdb.org/t/p/w500/aD8fQF2WFAvMMxmMHHj2RXz2hwP.jpg,https://www.youtube.com/watch?v=z4UDNzXD3qA,11
4,Color,Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130656,Tom Hardy,The Dark Knight Rises,1144337,106759,Joseph Gordon-Levitt,0,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English,USA,PG-13,250000000,2012,23000,8.5,2.3499999046325684,164000,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,https://www.youtube.com/watch?v=GAjBzu8ggi0,11
5,,Doug Walker,,,131,,Rob Walker,131,,Doug Walker,Star Wars: Episode VII - The Force Awakens,8,143,,0,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,,,12,7.0999999046325684,,0,,,
6,Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058680,Daryl Sabara,John Carter,212204,1873,Polly Walker,1,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,USA,PG-13,263700000,2012,632,6.5999999046325684,2.3499999046325684,24000,https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,https://www.youtube.com/watch?v=WR6HUkzxjR0,11
7,Color,Sam Raimi,392,156,0,4000,James Franco,24000,336530304,J.K. Simmons,Spider-Man 3,383056,46055,Kirsten Dunst,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English,USA,PG-13,258000000,2007,11000,6.1999998092651367,2.3499999046325684,0,https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,https://www.youtube.com/watch?v=wPosLpgMtTY,11
8,Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807264,Brad Garrett,Tangled,294810,2036,M.C. Gainey,1,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English,USA,PG,260000000,2010,553,7.8000001907348633,1.8500000238418579,29000,https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg,https://www.youtube.com/watch?v=gsYKF8ecC8g,6
9,Color,Joss Whedon,635,141,0,19000,Robert Downey Jr.,26000,458991584,Chris Hemsworth,Avengers: Age of Ultron,462669,92000,Scarlett Johansson,4,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,English,USA,PG-13,250000000,2015,21000,7.5,2.3499999046325684,118000,https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,https://www.youtube.com/watch?v=JAUoeqvedMo,11
10,Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956992,Alan Rickman,Harry Potter and the Half-Blood Prince,321795,58753,Rupert Grint,3,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,English,UK,PG,250000000,2009,11000,7.5,2.3499999046325684,10000,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,https://www.youtube.com/watch?v=DgeDDXcw--I,6
