id,title,original_title,release_date,popularity,vote_average,vote_count,overview,poster_path,backdrop_path,original_language,genre_ids
1233069,Exterritorial,Exterritorial,2025-04-29,505.1585,6.7,231,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",https://image.tmdb.org/t/p/w500/jM2uqCZNKbiyStyzXOERpMqAbdx.jpg,https://image.tmdb.org/t/p/w500/bVm6udIB6iKsRqgMdQh6HywuEBj.jpg,de,"53, 28"
1241436,Warfare,Warfare,2025-04-09,436.2016,7.205,146,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",https://image.tmdb.org/t/p/w500/j8tqBXwH2PxBPzbtO19BTF9Ukbf.jpg,https://image.tmdb.org/t/p/w500/cJvUJEEQ86LSjl4gFLkYpdCJC96.jpg,en,"10752, 28"
986056,Thunderbolts*,Thunderbolts*,2025-04-30,417.2589,7.544,621,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",https://image.tmdb.org/t/p/w500/m9EtP1Yrzv6v7dMaC9mRaGhd1um.jpg,https://image.tmdb.org/t/p/w500/rthMuZfFv4fqEU4JVbgSW9wQ8rs.jpg,en,"28, 12, 878"
1197306,A Working Man,A Working Man,2025-03-26,363.5091,6.508,589,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",https://image.tmdb.org/t/p/w500/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,https://image.tmdb.org/t/p/w500/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg,en,"28, 80, 53"
710258,Rust,Rust,2025-05-01,302.2244,6.441,34,"Infamous outlaw Harland Rust breaks his estranged grandson Lucas out of prison, after Lucas is convicted to hang for an accidental murder. The two must outrun legendary U.S Marshal Wood Helm and bounty hunter Fenton ""Preacher"" Lang who are hot on their tails. Deeply buried secrets rise from the ashes and an unexpected familial bond begins to form as the mismatched duo tries to survive the merciless American Frontier.",https://image.tmdb.org/t/p/w500/tbJ3RkA2s6X5qrBzrYHYTxvDBui.jpg,https://image.tmdb.org/t/p/w500/12tEzU0bNYKIjXXEwI5abuOotHF.jpg,en,37
950387,A Minecraft Movie,A Minecraft Movie,2025-03-31,276.6921,6.169,840,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",https://image.tmdb.org/t/p/w500/iPPTGh2OXuIv6d7cwuoPkw8govp.jpg,https://image.tmdb.org/t/p/w500/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,en,"10751, 35, 12, 14"
668489,Havoc,Havoc,2025-04-24,238.6355,6.6,547,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",https://image.tmdb.org/t/p/w500/r46leE6PSzLR3pnVzaxx5Q30yUF.jpg,https://image.tmdb.org/t/p/w500/65MVgDa6YjSdqzh7YOA04mYkioo.jpg,en,"28, 80, 53"
37135,Tarzan,Tarzan,1999-06-18,242.8597,7.4,6923,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",https://image.tmdb.org/t/p/w500/bTvHlcqiOjGa3lFtbrTLTM3zasY.jpg,https://image.tmdb.org/t/p/w500/86z1Yrwj7yN1xehSa0gIwHnR7xl.jpg,en,"10751, 12, 16, 18"
822119,Captain America: Brave New World,Captain America: Brave New World,2025-02-12,212.8605,6.148,1759,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",https://image.tmdb.org/t/p/w500/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,https://image.tmdb.org/t/p/w500/8eifdha9GQeZAkexgtD45546XKx.jpg,en,"28, 53, 878"
1144430,Last Bullet,Balle perdue 3,2025-05-06,360.8958,7.481,27,Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,https://image.tmdb.org/t/p/w500/qycPITRqXgPai7zj1gKffjCdSB5.jpg,https://image.tmdb.org/t/p/w500/4A5HH9HkCPqAwyYL6CnA0mxbYjn.jpg,fr,"28, 80, 53"
